,team_location,team_score,opponent_team_location,opponent_team_score,team_turnovers,blocks,steals,offensive_rebounds,defensive_rebounds,field_goals_attempted,three_point_field_goals_attempted,fouls,fast_break_points,free_throws_attempted,elo,opponent_elo,elo_delta,score_delta
436,Wake Forest,69,Duke,90,0,3,7,6,16,54,32,20,5,13,1428.04,1802.92,-374.8800000000001,-21
438,Nebraska,76,Minnesota,57,1,8,5,8,31,61,28,17,0,9,1720.83,1407.51,313.31999999999994,19
440,Maryland,48,Michigan State,91,3,0,4,9,15,54,26,16,0,11,1404.58,1726.57,-321.99,-43
442,North Carolina,85,Virginia,80,0,3,5,8,20,61,22,14,21,22,1618.04,1664.19,-46.15000000000009,5
444,Vanderbilt,88,Mississippi State,56,0,6,10,5,31,65,25,19,23,11,1663.42,1479.75,183.67000000000007,32
446,Clemson,77,Georgia Tech,63,2,6,5,9,28,61,28,16,7,13,1634.32,1381.48,252.83999999999992,14
450,NC State,81,Pittsburgh,72,0,5,10,8,23,55,20,21,13,27,1587.0,1355.73,231.26999999999998,9
452,Brown,53,Princeton,63,0,8,4,12,28,61,20,18,6,13,1195.45,1252.82,-57.36999999999989,-10
454,Niagara,70,Sacred Heart,71,1,1,7,5,28,53,18,13,0,7,1023.36,1200.63,-177.2700000000001,-1
456,UNC Wilmington,75,Hampton,67,0,0,4,10,23,49,12,15,14,27,1522.73,1233.71,289.02,8
460,Towson,73,North Carolina A&T,80,0,1,8,10,21,56,22,23,14,29,1355.75,1150.56,205.19000000000005,-7
462,Monmouth,88,Campbell,73,1,3,6,11,32,55,15,18,14,25,1290.31,1201.36,88.95000000000005,15
464,Hofstra,82,William & Mary,89,1,3,3,16,26,69,32,15,4,15,1280.5,1358.54,-78.03999999999996,-7
466,Mercer,77,Wofford,80,1,3,9,9,22,59,24,15,14,22,1319.74,1401.04,-81.29999999999995,-3
470,Bellarmine,114,North Florida,117,0,1,4,6,17,72,27,17,6,20,1115.89,1073.09,42.80000000000018,-3
472,Utah State,65,Colorado State,61,0,2,11,6,16,56,20,15,17,5,1580.6,1416.88,163.7199999999998,4
474,Western Illinois,64,Southern Indiana,96,0,2,5,8,21,60,13,11,10,24,937.58,1001.13,-63.549999999999955,-32
476,Ohio State,62,Michigan,74,1,1,6,12,15,59,27,20,4,9,1569.78,1808.16,-238.3800000000001,-12
478,Marquette,76,Butler,87,0,4,9,13,20,63,27,19,13,14,1388.57,1484.25,-95.68000000000006,-11
480,Akron,86,Ohio,65,0,5,2,11,33,61,17,20,0,26,1570.49,1292.46,278.03,21
482,Tulane,70,Charlotte,73,0,4,6,2,17,51,21,17,9,24,1347.61,1357.23,-9.620000000000118,-3
484,South Carolina Upstate,65,Gardner-Webb,67,1,4,3,11,23,56,21,17,4,22,1109.33,998.94,110.38999999999987,-2
486,High Point,93,Radford,83,0,4,12,6,21,55,29,20,20,33,1484.49,1269.88,214.6099999999999,10
488,Charleston Southern,79,Longwood,81,1,6,8,13,27,63,38,24,2,20,1124.81,1188.89,-64.08000000000015,-2
490,Massachusetts,68,Buffalo,67,3,1,8,12,24,58,20,13,4,16,1319.07,1276.94,42.12999999999988,1
494,Long Island University,66,Stonehill,63,1,7,5,7,21,57,22,14,12,17,1301.89,1104.8,197.09000000000015,3
496,Wagner,67,Le Moyne,69,0,1,5,10,24,53,19,25,7,12,976.85,1182.05,-205.19999999999993,-2
500,The Citadel,55,East Tennessee State,84,0,2,3,5,19,53,27,14,12,15,1068.57,1350.19,-281.6200000000001,-29
502,Middle Tennessee,58,Jacksonville State,75,1,3,3,10,20,55,23,17,5,14,1370.68,1364.74,5.940000000000055,-17
504,Indiana,82,Rutgers,59,1,7,4,11,29,60,35,15,5,7,1568.65,1394.3,174.35000000000014,23
506,Saint Louis,97,St. Bonaventure,62,0,7,8,9,31,64,33,20,17,9,1636.71,1375.68,261.03,35
508,Furman,89,UNC Greensboro,66,1,1,5,5,25,58,27,17,2,12,1393.03,1202.61,190.42000000000007,23
510,Kennesaw State,76,Louisiana Tech,82,2,8,7,13,17,53,20,18,8,33,1353.78,1355.08,-1.2999999999999545,-6
512,East Carolina,63,North Texas,59,3,7,4,13,30,47,16,13,4,23,1202.22,1366.58,-164.3599999999999,4
514,Mercyhurst,61,New Haven,57,0,3,7,3,19,49,14,14,10,7,1196.36,1066.2,130.15999999999985,4
516,Stetson,65,Austin Peay,73,0,1,8,10,23,56,24,16,4,20,1131.14,1337.08,-205.93999999999983,-8
518,Florida Gulf Coast,71,Lipscomb,86,0,3,1,11,17,56,26,19,2,20,1208.3,1376.51,-168.21000000000004,-15
524,Long Beach State,61,Cal State Fullerton,71,3,0,6,9,21,54,26,17,11,17,1146.92,1233.69,-86.76999999999998,-10
526,UC Irvine,80,UC Riverside,66,1,5,12,17,27,59,19,14,19,31,1480.4,1212.25,268.1500000000001,14
530,North Dakota State,82,Denver,77,1,5,7,10,26,59,26,12,10,15,1454.82,1133.67,321.14999999999986,5
532,Cal Poly,67,UC Santa Barbara,107,0,0,6,5,12,49,26,9,8,20,1200.65,1384.98,-184.32999999999993,-40
534,UC San Diego,80,UC Davis,74,1,6,6,11,37,55,24,18,9,27,1394.03,1297.03,97.0,6
536,Weber State,65,Montana,81,0,2,9,7,15,51,17,14,8,20,1173.37,1389.75,-216.3800000000001,-16
538,Idaho State,62,Montana State,74,0,4,3,9,23,54,25,18,7,18,1176.31,1303.86,-127.54999999999995,-12
540,Sacramento State,76,Idaho,86,0,1,6,15,23,71,14,16,12,17,1093.27,1227.0,-133.73000000000002,-10
542,Portland State,65,Eastern Washington,61,1,4,8,8,25,56,12,24,10,13,1341.13,1084.45,256.68000000000006,4
544,Tennessee State,66,SIU Edwardsville,74,1,2,7,21,19,67,22,20,12,22,1313.36,1253.21,60.149999999999864,-8
546,Missouri State,84,New Mexico State,75,1,1,2,13,27,53,23,19,6,27,1273.11,1228.12,44.99000000000001,9
548,Florida International,77,UTEP,83,0,2,9,10,22,54,13,11,15,27,1203.74,1188.32,15.420000000000073,-6
550,Little Rock,65,Southeast Missouri State,70,0,6,8,8,23,60,21,16,6,17,1196.72,1274.69,-77.97000000000003,-5
552,Tennessee Tech,68,Lindenwood,89,1,3,10,15,17,60,14,17,10,30,1029.28,1208.69,-179.41000000000008,-21
554,Eastern Illinois,59,Southern Indiana,51,2,3,7,7,34,55,12,21,15,22,1138.31,1001.13,137.17999999999995,8
556,North Dakota,79,Oral Roberts,62,0,2,13,10,20,61,16,20,8,18,1268.34,977.9,290.43999999999994,17
558,Western Illinois,66,Morehead State,71,0,2,5,10,21,61,24,16,10,13,937.58,1240.73,-303.15,-5
560,South Florida,82,UAB,69,0,9,5,16,30,65,33,20,12,21,1472.42,1422.92,49.5,13
562,Wisconsin,98,Penn State,71,0,4,5,14,30,71,35,16,19,15,1610.82,1322.93,287.8899999999999,27
564,Merrimack,60,Iona,61,0,8,7,13,25,54,18,14,10,12,1391.05,1354.38,36.669999999999845,-1
566,Milwaukee,76,Robert Morris,88,0,7,11,8,17,59,27,23,8,20,1262.35,1345.59,-83.24000000000001,-12
